00:10:26 2018-10-22 10662 [debug_log] Starting installation of module: base 
00:10:26 2018-10-22 10662 [debug_log] owa_request Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_session Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_document Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_feed_request Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_click Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_ua Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_referer Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_site Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_visitor Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_host Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_exit Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_os Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_impression Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_configuration Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_user Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_domstream Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_action_fact Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_search_term_dim Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_ad_dim Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_source_dim Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_campaign_dim Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_location_dim Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_commerce_transaction_fact Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_commerce_line_item_fact Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_queue_item Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_site_user Table Created. 
00:10:28 2018-10-22 10662 [debug_log] Post install proceadure was a success. 
14:20:38 2018-11-18 22955 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
14:34:28 2018-11-18 22950 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
20:41:31 2018-11-18 14899 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
20:41:43 2018-11-18 15033 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
13:38:42 2018-11-19 12500 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
13:45:17 2018-11-19 8570 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
14:05:48 2018-11-19 18482 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
14:06:28 2018-11-19 19304 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
14:40:10 2018-11-19 6898 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
15:10:59 2018-11-19 880 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
15:12:59 2018-11-19 6342 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
15:19:24 2018-11-19 20551 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
15:25:02 2018-11-19 12824 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
15:25:20 2018-11-19 13103 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
16:00:13 2018-11-19 6537 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
16:05:46 2018-11-19 24720 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
16:07:33 2018-11-19 28983 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
17:35:03 2018-11-19 20637 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
17:36:22 2018-11-19 23213 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
19:21:49 2018-11-19 14868 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
11:57:47 2018-11-20 27470 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
12:17:49 2018-11-20 2179 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
12:18:12 2018-11-20 2647 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
12:50:04 2018-11-20 2557 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
13:07:20 2018-11-20 29062 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
13:09:42 2018-11-20 592 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
13:44:58 2018-11-20 14345 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
13:47:21 2018-11-20 17370 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
13:48:52 2018-11-20 20763 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
14:43:05 2018-11-20 2209 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
14:43:43 2018-11-20 2765 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
16:16:46 2018-11-20 23015 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
22:08:01 2018-12-05 2174 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
14:05:52 2019-01-07 16865 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
14:06:09 2019-01-07 17049 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
19:41:28 2019-04-21 13180 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
